hotel_name,lat,lon,raw_score,nearest_station,walk_time_mins,top_clusters,hotel_access_score
Moxy NYC Times Square,40.7512,-73.9885,67.16214680159835,Times Sq - 42 St,5.445372566289445,"[{'name': 'Midtown Core', 'pts': 42.06225622872678, 'mins': 8.793755556948877}, {'name': 'Central Park South', 'pts': 17.253749529203862, 'mins': 13.299919019488664}]",100.0
Pod 39,40.7494,-73.9772,66.39630480212031,Grand Central - 42 St,4.586797059626581,"[{'name': 'Midtown Core', 'pts': 39.554731166806675, 'mins': 9.562074306003542}, {'name': 'Central Park South', 'pts': 19.2501848721217, 'mins': 11.931279262423583}]",98.85
The Standard High Line,40.7408,-74.0079,21.805958700720115,W 4 St - Wash Sq,14.389756597714678,"[{'name': 'Midtown Core', 'pts': 10.899717591676922, 'mins': 25.673929707641612}, {'name': 'Lower Manhattan', 'pts': 6.511303583958435, 'mins': 28.169933819488026}]",32.08
Ace Hotel Brooklyn,40.6892,-73.9822,14.61989257428264,Atlantic Av - Barclays Ctr,8.192033568032567,"[{'name': 'Lower Manhattan', 'pts': 9.734092261683864, 'mins': 23.143749942347785}, {'name': 'Midtown Core', 'pts': 3.370686337413891, 'mins': 40.34418589885557}]",21.32
The William Vale,40.7222,-73.9571,0.3820555840907721,Atlantic Av - Barclays Ctr,57.93755756993953,"[{'name': 'Midtown Core', 'pts': 0.17326805984820542, 'mins': 77.44458326608913}, {'name': 'Lower Manhattan', 'pts': 0.11921626317379959, 'mins': 78.17438103350898}]",0.0
