poi_name,lat,lon,weight,original_poi_count
"Cluster (7 POIs): Times Square, Empire State Building, Grand Central Terminal, Rockefeller Center, Bryant Park, Penn Station, MoMA",40.75459571428571,-73.983173,4.750000000000001,7
"Cluster (2 POIs): Central Park, The Metropolitan Museum of Art",40.780317,-73.964951,1.6,2
Statue of Liberty,40.689211,-74.044643,1.0,1
World Trade Center,40.712742,-74.013382,0.7,1
Brooklyn Bridge,40.706086,-73.996864,0.65,1
Chelsea Market,40.742439,-74.006143,0.4,1
Washington Square Park,40.730823,-73.997332,0.35,1
SoHo,40.723301,-74.002988,0.3,1
Williamsburg,40.708116,-73.95707,0.25,1
